id,assign,-logKd/Ki,pred_grid_rf,pred_grid_nn,pred_ECFP_rf,pred_ECFP_nn
4bt3,valid,3.12,5.256208991494524,5.5970106,,
1o0m,train,5.15,5.448809234507917,5.745755,,
4qac,test,9.4,6.668104495747269,8.011199,6.912372476089283,8.809206
4u43,test,4.32,5.889720534629415,6.996147,6.899316330145251,8.4448185
1o36,train,5.96,6.146051032806827,6.6875305,6.105111583421923,6.6517363
2qpq,train,6.37,5.8751154313486715,6.649345,6.36999999999991,6.691194
1g2o,train,10.55,8.967399756986719,9.405812,,
4pee,test,8.32,5.702345078979352,5.6268125,6.134927382217485,8.59138
2j2u,train,7.33,7.456609963547957,8.163848,7.583999999999956,7.5808787
4agc,valid,10.7,6.371859052247867,7.4504642,,
3tu7,train,8.09,7.607569866342706,8.520328,7.7925611052072945,7.083421
3f48,train,6.29,5.732539489671915,6.7240233,6.218384697130682,5.734379
2w7y,train,6.08,6.32760631834748,6.8961563,5.627582232680502,6.1907625
3kmx,train,4.82,5.2738760631835016,5.7030168,5.262289408430763,7.0905023
2xej,train,8.87,8.06488456865122,9.510646,8.295789054197611,8.20898
3adv,train,3.03,4.16309842041316,3.9422827,,
1ui0,train,7.06,6.261032806804405,6.9770555,6.11919234856541,5.7783017
4ibd,test,3.67,6.491044957472663,7.7414923,6.363761955366649,7.3591332
4ih7,valid,5.24,6.223645200486036,7.1835527,6.2597555791710935,6.536786
4qxr,test,6.0,6.149453219927096,8.432463,6.032124285208243,8.046203
2p15,train,10.3,9.107922235723052,10.098447,,
1ec2,train,10.0,9.320012150668294,10.133902,9.264431455897999,9.332957
3efs,train,5.34,5.583851761846944,6.029278,,
2y7x,train,8.89,8.412454434993988,8.935123,8.591009564293367,8.845419
4b6p,train,7.13,6.786208991494591,7.7357903,6.994824654622825,8.386554
1qf0,train,7.38,7.1223207776428294,7.9030833,6.9837194473964415,6.8979897
3n35,train,3.37,4.087387606318299,4.088525,,
3ouj,train,6.05,5.776852976913787,6.5218844,,
1pzo,train,3.32,4.224799513973311,4.2514114,3.909489904357101,3.6836944
3rz5,train,7.89,7.905783718104544,8.258718,7.886468296138964,8.505226
2qrh,train,4.71,4.978699878493334,5.2325315,4.933641516117617,6.03528
3t70,train,6.3,6.471907654921077,7.235454,6.0289815798796225,6.5012345
2w8j,train,2.96,4.15766707168896,3.8920546,,
4k3n,valid,7.96,5.806099635479952,7.079552,,
4gii,test,8.74,6.123511543134871,6.719759,6.492858660998971,5.992297
3v5t,valid,8.22,6.6261360874848165,7.3434534,5.691976620616361,4.219826
4ibe,test,4.15,6.221931956257602,6.862416,6.496758767268882,8.477203
2o4k,train,10.46,9.506051032806823,10.65254,,
3cj4,train,6.51,6.419647630619766,7.079582,6.409755579171202,6.7812195
4gu9,valid,4.37,5.799963547995142,7.6723204,6.902667375132852,5.1933684
2c1p,train,5.4,5.769489671931962,6.090994,5.738554729011668,6.3545647
3su5,train,5.58,6.086439854191953,5.9617047,,
3buh,train,3.66,4.611664641555251,4.2993436,4.784605030109779,5.5640683
3g31,train,2.89,3.6620291616038854,3.5602918,4.362616896918152,5.1769466
3dx1,train,3.58,4.307970838396081,4.9317365,4.618087141338965,5.032929
4ge1,valid,6.43,5.712867557715665,6.5965104,,
3djk,train,10.59,10.1090400972054,10.839995,,
2j62,train,11.34,9.68665856622121,11.383843,,
2hmv,train,7.7,6.97985419198049,8.291429,,
3ioc,train,3.68,4.425808019441028,4.478765,4.145058448459035,5.668282
2xht,train,5.96,6.164398541919829,6.9867563,6.196609989373037,7.056056
3c4h,train,5.7,5.802393681652426,6.6674123,5.845919234856474,5.3160353
4qgi,test,3.9,7.126403402187131,8.910219,8.418841657810843,12.543029
3ip9,train,5.62,5.5383596597812295,6.24357,5.626809206016607,6.3384886
2ra0,train,7.8,7.424908869987926,8.323845,7.574729011689776,7.8176875
1xgi,train,4.85,5.150899149453191,5.692526,5.5606490056171385,7.2074423
1onz,train,5.1,5.524981773997553,5.8296514,5.309500531349637,6.5420823
4do5,train,5.83,5.682685297691336,6.4617205,,
1wn6,train,4.68,5.312624544349906,5.312323,5.213708820403819,5.014179
1o0n,train,4.09,4.581263669501853,4.5436525,,
2wky,train,8.59,7.603292831105757,8.704705,7.810311725115193,7.9577847
3ahn,train,7.05,6.953669501822673,7.872059,,
2hkf,train,6.38,6.741057108141002,7.122523,6.417715196599416,6.7941146
2rkg,train,8.09,7.880558930741243,8.391485,,
1uw6,train,7.34,6.722563791008554,7.720232,,
3rtf,train,7.35,6.762989064398574,7.5404544,7.274250797024518,7.020136
