ChEMBLID	count
CHEMBL4282	2817
CHEMBL2431	839
CHEMBL4816	220
CHEMBL5579	33
CHEMBL5320	25
CHEMBL4516	37
CHEMBL5052	14
CHEMBL3231	909
CHEMBL2973	1719
CHEMBL5861	26
CHEMBL5678	103
CHEMBL6144	112
CHEMBL5607	29
CHEMBL1075133	31
CHEMBL1163128	12
CHEMBL2417355	0
CHEMBL2417351	0
CHEMBL6167	16
CHEMBL1075155	9
CHEMBL4851	10
CHEMBL2534	824
CHEMBL4101	126
CHEMBL2918	13
CHEMBL2743	0
CHEMBL5818	11
CHEMBL299	1001
CHEMBL3045	612
CHEMBL2938	193
CHEMBL2996	623
CHEMBL3920	722
CHEMBL3582	372
CHEMBL3616	227
CHEMBL3438	153
CHEMBL4273	18
CHEMBL2896	14
CHEMBL3384	39
CHEMBL3032	45
CHEMBL3627581	0
CHEMBL3125	35
CHEMBL4237	104
CHEMBL4501	1438
CHEMBL3111	15
CHEMBL2553	102
CHEMBL3906	315
CHEMBL2345	350
CHEMBL4924	32
CHEMBL1795193	0
CHEMBL2343	111
CHEMBL5794	2
CHEMBL6186	17
CHEMBL5912	12
CHEMBL6150	13
CHEMBL5405	3
CHEMBL5550	13
CHEMBL5753	16
CHEMBL4105885	0
CHEMBL1628470	1
CHEMBL5026	37
CHEMBL5146	3
CHEMBL1293289	345
CHEMBL1795186	328
CHEMBL1163125	2019
CHEMBL4766	576
CHEMBL3861	637
CHEMBL3893	8
CHEMBL4141	5
CHEMBL3797	147
CHEMBL3142	860
CHEMBL2842	3895
CHEMBL1795195	21
CHEMBL5975	25
CHEMBL5659	24
CHEMBL3217390	52
CHEMBL3108641	5
CHEMBL3108638	62
CHEMBL3769297	0
CHEMBL2176772	1
CHEMBL2494	14
CHEMBL2493	27
CHEMBL5073	29
CHEMBL5258	17
CHEMBL4147	34
CHEMBL4121	18
CHEMBL2801	124
CHEMBL4045	44
CHEMBL2116	36
CHEMBL4574	18
CHEMBL5650	13
CHEMBL1795165	16
CHEMBL5606	14
CHEMBL5754	25
CHEMBL4578	807
CHEMBL3542	15
CHEMBL5784	49
CHEMBL6054	2
CHEMBL5699	35
CHEMBL6082	31
CHEMBL6005	53
CHEMBL2558	40
CHEMBL2468	63
CHEMBL3123	33
CHEMBL3980	103
CHEMBL4525	61
CHEMBL5683	20
CHEMBL4670	8
CHEMBL3094	39
CHEMBL2208	838
CHEMBL4204	578
CHEMBL4718	207
CHEMBL2428	103
CHEMBL2777	27
CHEMBL4004	28
CHEMBL2349	30
CHEMBL2147	3734
CHEMBL4523	2266
CHEMBL3863	127
CHEMBL2595	28
CHEMBL4900	55
CHEMBL2527	510
CHEMBL3414416	2
CHEMBL6003	21
CHEMBL3627582	0
CHEMBL2793	72
CHEMBL2828	387
CHEMBL4937	362
CHEMBL5084	15
CHEMBL2426	24
CHEMBL1926492	0
CHEMBL3337327	0
CHEMBL1293199	0
CHEMBL1649059	5
CHEMBL3430761	0
CHEMBL3559690	0
CHEMBL308	950
CHEMBL301	1612
CHEMBL4442	18
CHEMBL331	967
CHEMBL2508	289
CHEMBL4036	168
CHEMBL3055	125
CHEMBL5719	240
CHEMBL6002	20
CHEMBL3116	718
CHEMBL4597	35
CHEMBL5790	21
CHEMBL5316	17
CHEMBL6162	19
CHEMBL5856	16
CHEMBL1163112	13
CHEMBL5789	5
CHEMBL5728	23
CHEMBL3629	548
CHEMBL4070	184
CHEMBL4224	445
CHEMBL4225	140
CHEMBL4203	228
