CHEMBL1795195	Q96Q15
CHEMBL6002	Q9BWU1
CHEMBL1795165	P57058
CHEMBL2850	P49840
CHEMBL3438	Q05513
CHEMBL3935	Q9UQB9
CHEMBL1293289	P25440
CHEMBL4899	P41279
CHEMBL3385	P27361
CHEMBL3582	Q02156
CHEMBL4225	P49760
CHEMBL5608	Q16288
CHEMBL2073	P07947
CHEMBL4895	P30530
CHEMBL3529	Q14164
CHEMBL5072	P54762
CHEMBL5026	O00418
CHEMBL5668	P78362
CHEMBL5552	O00506
CHEMBL5251	Q06187
CHEMBL2873	Q02779
CHEMBL6029	Q9BQI3
CHEMBL4004	Q16816
CHEMBL5818	P51817
CHEMBL4575	O43781
CHEMBL4101	P17612
CHEMBL1075115	Q9NR20
CHEMBL5082	Q9Y6E0
CHEMBL5455	P07332
CHEMBL1862	P00519
CHEMBL3142	P78527
CHEMBL3982	P16591
CHEMBL3920	Q04759
CHEMBL5404	Q86UE8
CHEMBL4600	Q13153
CHEMBL4267	P37173
CHEMBL5932	P53671
CHEMBL5084	Q9Y6M4
CHEMBL4708	Q13188
CHEMBL5284	Q96RR4
CHEMBL4128	Q02763
CHEMBL3357	P51617
CHEMBL3834	P51813
CHEMBL5616	P27037
CHEMBL3983	P33981
CHEMBL2428	Q15746
CHEMBL5476	O00238
CHEMBL1163106	P20794
CHEMBL3836	P53667
CHEMBL267	P12931
CHEMBL4175	P42679
CHEMBL5260	Q59H18
CHEMBL5650	Q8TDC3
CHEMBL1075195	Q9UL54
CHEMBL4439	P36897
CHEMBL5607	Q15835
CHEMBL4522	Q9NSY1
CHEMBL5975	Q9BRS2
CHEMBL5678	P34947
CHEMBL4900	Q9BZL6
CHEMBL5145	P15056
CHEMBL4897	Q9H4B4
CHEMBL2971	O60674
CHEMBL4282	P31749
CHEMBL4766	Q15118
CHEMBL1163129	Q52WX2
CHEMBL3231	Q13464
CHEMBL301	P24941
CHEMBL2250	P51451
CHEMBL2468	O43293
CHEMBL4896	Q96KB5
CHEMBL5547	Q8NFD2
CHEMBL5464	Q13546
CHEMBL5838	P21860
CHEMBL3797	Q13315
CHEMBL3217390	P21675
CHEMBL2742	P22607
CHEMBL3587	Q02750
CHEMBL2803	P43403
CHEMBL5912	Q9NY57
CHEMBL2109	P46734
CHEMBL2176772	Q9UPN9
CHEMBL6162	O94921
CHEMBL5052	Q9Y5S2
CHEMBL3123	Q9UIK4
CHEMBL3009	Q15303
CHEMBL2041	P07949
CHEMBL4311	Q9NQU5
CHEMBL3788	O00444
CHEMBL5198	Q8TD08
CHEMBL1844	P07333
CHEMBL5358	Q9P2K8
CHEMBL5568	P08922
CHEMBL4954	P29320
CHEMBL5427	Q86Z02
CHEMBL2292	Q13627
CHEMBL5311	P37023
CHEMBL5274	P35590
CHEMBL4040	P28482
